縣市,門市,抽選時間,型號,商品,抽獎連結,官方帳號,加好友連結,已抽
台北市,Funbox 天母SOGO店,2026/09/11 11:00~2026/09/12 21:00,BX-00,BX-00 蒼龍神劍3-60F V2（$350）,https://lin.ee/y4j0PVB,@377cbfue,https://line.me/ti/p/~@377cbfue,
台北市,Funbox 天母SOGO店,2026/09/11 11:00~2026/09/12 21:00,CX-00,"CX-00 新世紀福音戰士陀螺套組（$1,395）",https://lin.ee/uq6jtZa,@377cbfue,https://line.me/ti/p/~@377cbfue,
台北市,Funbox 天母SOGO店,2026/09/11 11:00~2026/09/12 21:00,CX-13,CX-13 龍王閃擊（$495）,https://lin.ee/sW8NexE,@377cbfue,https://line.me/ti/p/~@377cbfue,
台北市,Funbox-信義A8店(陀螺販售),2026/09/11 11:00~2026/09/12 21:00,BX-00,BX-00 蒼龍神劍3-60F V2（$350）,https://lin.ee/NsYCTEy,@983dfazy,https://line.me/ti/p/~@983dfazy,
台北市,Funbox-信義A8店(陀螺販售),2026/09/11 11:00~2026/09/12 21:00,CX-00,"CX-00 新世紀福音戰士陀螺套組（$1,395）",https://lin.ee/U0irnFS,@983dfazy,https://line.me/ti/p/~@983dfazy,
台北市,Funbox-信義A8店(陀螺販售),2026/09/11 11:00~2026/09/12 21:00,CX-12,CX-12 鳳凰閃焰（$350）,https://lin.ee/qtETM0Z,@983dfazy,https://line.me/ti/p/~@983dfazy,
台北市,Funbox-信義A8店(陀螺販售),2026/09/11 11:00~2026/09/12 21:00,CX-13,CX-13 龍王閃擊（$495）,https://lin.ee/8ui3pQS,@983dfazy,https://line.me/ti/p/~@983dfazy,
台北市,Funbox 三越站前店,2026/09/11 11:00~2026/09/12 21:00,CX-00,"CX-00 新世紀福音戰士陀螺套組（$1,395）",https://lin.ee/wNVQFEw,@631ovgxp,https://line.me/ti/p/~@631ovgxp,
台北市,Funbox天母三越店,2026/09/11 11:00~2026/09/12 21:00,BX-00,BX-00 暴風天馬（$595）,https://lin.ee/629xw4m,@237annfd,https://line.me/ti/p/~@237annfd,
台北市,Funbox天母三越店,2026/09/11 11:00~2026/09/12 21:00,BX-00,BX-00 蒼龍神劍V2（$350）,https://lin.ee/yxZblNk,@237annfd,https://line.me/ti/p/~@237annfd,
台北市,Funbox天母三越店,2026/09/11 11:00~2026/09/12 21:00,BX-26,BX-26 獨角刺心（$295）,https://lin.ee/Pxw2I5hu,@237annfd,https://line.me/ti/p/~@237annfd,
台北市,Funbox天母三越店,2026/09/11 11:00~2026/09/12 21:00,CX-00,"CX-00 新世紀福音戰士陀螺套組（$1,395）",https://lin.ee/rFVhsbI,@237annfd,https://line.me/ti/p/~@237annfd,
台北市,Funbox天母三越店,2026/09/11 11:00~2026/09/12 21:00,CX-13,CX-13 龍王閃擊（$495）,https://lin.ee/rU3f6Ng,@237annfd,https://line.me/ti/p/~@237annfd,
台北市,Funbox天母三越店,2026/09/11 11:00~2026/09/12 21:00,BXG-04,BXG-04 銀牙烈虎S（$350）,https://lin.ee/WYNMaUp,@237annfd,https://line.me/ti/p/~@237annfd,
台北市,Funbox LaLaport南港,2026/09/11 11:00~2026/09/12 21:00,BX-00,BX-00 蒼龍神劍3-60F V2（$350）,https://lin.ee/x1u6Knk,@924ngwfb,https://line.me/ti/p/~@924ngwfb,
台北市,Funbox LaLaport南港,2026/09/11 11:00~2026/09/12 21:00,BX-26,BX-26 獨角刺心（$295）,https://lin.ee/ym2BGXG,@924ngwfb,https://line.me/ti/p/~@924ngwfb,
台北市,Funbox LaLaport南港,2026/09/11 11:00~2026/09/12 21:00,BX-37,"BX-37 雙重極限衝擊戰鬥盤 豪華組（$2,750）",https://lin.ee/xOtHEe4,@924ngwfb,https://line.me/ti/p/~@924ngwfb,
台北市,Funbox LaLaport南港,2026/09/11 11:00~2026/09/12 21:00,CX-00,"CX-00 新世紀福音戰士陀螺套組（$1,395）",https://lin.ee/pncsz8S,@924ngwfb,https://line.me/ti/p/~@924ngwfb,
台北市,Funbox LaLaport南港,2026/09/11 11:00~2026/09/12 21:00,CX-13,CX-13 龍王閃擊（$495）,https://lin.ee/R1VlRfVq,@924ngwfb,https://line.me/ti/p/~@924ngwfb,
台北市,Funbox LaLaport南港,2026/09/11 11:00~2026/09/12 21:00,BXG-04,BXG-04 銀牙烈虎S（$350）,https://lin.ee/TxQ5gKs,@924ngwfb,https://line.me/ti/p/~@924ngwfb,
台北市,Funbox 遠百信義A13,2026/09/11 11:00~2026/09/12 21:00,BX-00,BX-00 蒼龍神劍（$350）,https://lin.ee/67lhgQeG,@020sqlyp,https://line.me/ti/p/~@020sqlyp,
台北市,Funbox 遠百信義A13,2026/09/11 11:00~2026/09/12 21:00,BX-37,"BX-37 雙重極限衝擊戰鬥盤 豪華組（$2,750）",https://lin.ee/7AmqRzi,@020sqlyp,https://line.me/ti/p/~@020sqlyp,
台北市,Funbox 遠百信義A13,2026/09/11 11:00~2026/09/12 21:00,UX-20,UX-20 榮耀武神LF（$595）,https://lin.ee/o91HeXX,@020sqlyp,https://line.me/ti/p/~@020sqlyp,
台北市,Funbox 遠百信義A13,2026/09/11 11:00~2026/09/12 21:00,CX-00,"CX-00 新世紀福音戰士陀螺套組（$1,395）",https://lin.ee/O9OVpCU,@020sqlyp,https://line.me/ti/p/~@020sqlyp,
台北市,Funbox 遠百信義A13,2026/09/11 11:00~2026/09/12 21:00,CX-13,CX-13 龍王閃擊（$495）,https://lin.ee/yMELNp6,@020sqlyp,https://line.me/ti/p/~@020sqlyp,
台北市,Funbox-台北大巨蛋,2026/09/11 11:00~2026/09/12 21:00,BX-00,BX-00 丘巴卡 風暴兵（$350）,https://lin.ee/sDaSYu3,,,
台北市,Funbox-台北大巨蛋,2026/09/11 11:00~2026/09/12 21:00,BX-00,BX-00 歐比王 葛里維斯將軍（$350）,https://lin.ee/WwDBzw0,,,
台北市,Funbox-台北大巨蛋,2026/09/11 11:00~2026/09/12 21:00,BX-00,BX-00 終極蜘蛛人 綠惡魔（$350）,https://lin.ee/Uw3ZLvP,,,
台北市,Funbox-台北大巨蛋,2026/09/11 11:00~2026/09/12 21:00,BX-00,BX-00 美國隊長 紅浩克（$350）,https://lin.ee/RmQi7Cx,,,
台北市,Funbox-台北大巨蛋,2026/09/11 11:00~2026/09/12 21:00,BX-00,BX-00 蒼龍神劍3-60F V2（$350）,https://lin.ee/TauMeeJ,,,
台北市,Funbox-台北大巨蛋,2026/09/11 11:00~2026/09/12 21:00,BX-13,BX-13 騎士長槍,https://lin.ee/X1v1t8m,,,
台北市,Funbox-台北大巨蛋,2026/09/11 11:00~2026/09/12 21:00,BX-16,BX-16 王蛇鞭尾 隨機強化組,https://lin.ee/OCQr8EZ,,,
台北市,Funbox-台北大巨蛋,2026/09/11 11:00~2026/09/12 21:00,BX-21,BX-21 惡魔鎖鏈改造組,https://lin.ee/9LbkCtl,,,
台北市,Funbox-台北大巨蛋,2026/09/11 11:00~2026/09/12 21:00,BX-23,BX-23 鳳凰飛翼 豪華組,https://lin.ee/NXCPMML,,,
台北市,Funbox-台北大巨蛋,2026/09/11 11:00~2026/09/12 21:00,BX-37,"BX-37 雙重極限衝擊戰鬥盤 豪華組（$2,750）",https://lin.ee/nbX5JsL,,,
台北市,Funbox-台北大巨蛋,2026/09/11 11:00~2026/09/12 21:00,BX-39,BX-39 護城龍神,https://lin.ee/xMg6FSs,,,
台北市,Funbox-台北大巨蛋,2026/09/11 11:00~2026/09/12 21:00,BX-44,BX-44 三角強襲,https://lin.ee/VvgzDtS,,,
台北市,Funbox-台北大巨蛋,2026/09/11 11:00~2026/09/12 21:00,BX-45,BX-45 武士魂斬（$325）,https://lin.ee/XNczmlg,,,
台北市,Funbox-台北大巨蛋,2026/09/11 11:00~2026/09/12 21:00,BX-46,BX-46 無限衝擊對戰組,https://lin.ee/U3ppnbc,,,
台北市,Funbox-台北大巨蛋,2026/09/11 11:00~2026/09/12 21:00,BX-50,BX-50 天堂日輪 隨機強化組（$350）,https://lin.ee/Nq9s8U3,,,
台北市,Funbox-台北大巨蛋,2026/09/11 11:00~2026/09/12 21:00,UX-06,UX-06 雄獅巔峰,https://lin.ee/QZumkum,,,
台北市,Funbox-台北大巨蛋,2026/09/11 11:00~2026/09/12 21:00,UX-08,UX-08 霜輝銀狼,https://lin.ee/X9B7fEF,,,
台北市,Funbox-台北大巨蛋,2026/09/11 11:00~2026/09/12 21:00,UX-09,UX-09 武士星劍 豪華組,https://lin.ee/YKj14yy,,,
台北市,Funbox-台北大巨蛋,2026/09/11 11:00~2026/09/12 21:00,UX-10,UX-10 騎士圓甲改造組,https://lin.ee/vGCViQp,,,
台北市,Funbox-台北大巨蛋,2026/09/11 11:00~2026/09/12 21:00,UX-11,UX-11 衝擊龍神 豪華組（$550）,https://lin.ee/xbDC2Ri,,,
台北市,Funbox-台北大巨蛋,2026/09/11 11:00~2026/09/12 21:00,UX-13,UX-13 魔像奇岩,https://lin.ee/ty5CxH5,,,
台北市,Funbox-台北大巨蛋,2026/09/11 11:00~2026/09/12 21:00,UX-14,UX-14 天蠍長矛0-70Z,https://lin.ee/ymaAoQA,,,
台北市,Funbox-台北大巨蛋,2026/09/11 11:00~2026/09/12 21:00,UX-15,UX-15 鮫鯊狂鱗改造組,https://lin.ee/qi5CPRL,,,
台北市,Funbox-台北大巨蛋,2026/09/11 11:00~2026/09/12 21:00,UX-21,UX-21 惡魔冥界改造組（$895）,https://lin.ee/ZGTOwTU,,,
台北市,Funbox-台北大巨蛋,2026/09/11 11:00~2026/09/12 21:00,CX-00,"CX-00 新世紀福音戰士陀螺套組（$1,395）",https://lin.ee/WBosPIK,,,
台北市,Funbox-台北大巨蛋,2026/09/11 11:00~2026/09/12 21:00,CX-02,CX-02 魔導至尊,https://lin.ee/nXJbLW9,,,
台北市,Funbox-台北大巨蛋,2026/09/11 11:00~2026/09/12 21:00,CX-05,CX-05 隨機強化組 Vol.6,https://lin.ee/tRAzma1,,,
台北市,Funbox-台北大巨蛋,2026/09/11 11:00~2026/09/12 21:00,CX-08,CX-08 隨機強化組 Vol.7,https://lin.ee/5GzHj9T,,,
台北市,Funbox-台北大巨蛋,2026/09/11 11:00~2026/09/12 21:00,CX-12,CX-12 鳳凰閃焰（$350）,https://lin.ee/Ns87Dai,,,
台北市,Funbox-台北大巨蛋,2026/09/11 11:00~2026/09/12 21:00,BXG-22,BXG-22 龍騎士S,https://lin.ee/r4eJ9Ia,,,
新北市,Funbox板橋遠東店,2026/09/11 11:00~2026/09/12 21:00,BX-00,BX-00 蒼龍神劍V2（$350）,https://lin.ee/p6Hm7YO,@083zoknr,https://line.me/ti/p/~@083zoknr,
新北市,Funbox板橋遠東店,2026/09/11 11:00~2026/09/12 21:00,UX-20,UX-20 榮耀武神LF（$595）,https://lin.ee/yKmsW9Y,@083zoknr,https://line.me/ti/p/~@083zoknr,
新北市,Funbox板橋遠東店,2026/09/11 11:00~2026/09/12 21:00,UX-21,UX-21 惡魔冥界改造組（$895）,https://lin.ee/Q7Ubro4,@083zoknr,https://line.me/ti/p/~@083zoknr,
新北市,Funbox板橋遠東店,2026/09/11 11:00~2026/09/12 21:00,CX-00,"CX-00 新世紀福音戰士陀螺套組（$1,395）",https://lin.ee/vAF5QKG,@083zoknr,https://line.me/ti/p/~@083zoknr,
新北市,Funbox板橋遠東店,2026/09/11 11:00~2026/09/12 21:00,BXG-04,BXG-04 銀牙烈虎S（$350）,https://lin.ee/7Qp0lON,@083zoknr,https://line.me/ti/p/~@083zoknr,
新北市,FunBox Toys-汐止遠雄店,2026/09/11 11:00~2026/09/12 21:00,BX-00,BX-00 暴風天馬3-70R（$595）,https://lin.ee/n6US1jV,@mhb3876c,https://line.me/ti/p/~@mhb3876c,
新北市,FunBox Toys-汐止遠雄店,2026/09/11 11:00~2026/09/12 21:00,BX-00,BX-00 蒼龍神劍（$350）,https://lin.ee/7PHWVG7,@mhb3876c,https://line.me/ti/p/~@mhb3876c,
新北市,FunBox Toys-汐止遠雄店,2026/09/11 11:00~2026/09/12 21:00,BX-26,BX-26 獨角刺心（$295）,https://lin.ee/V7BEn2I,@mhb3876c,https://line.me/ti/p/~@mhb3876c,
新北市,FunBox Toys-汐止遠雄店,2026/09/11 11:00~2026/09/12 21:00,UX-21,UX-21 惡魔冥界改造組（$895）,https://lin.ee/8552VhL,@mhb3876c,https://line.me/ti/p/~@mhb3876c,
新北市,FunBox Toys-汐止遠雄店,2026/09/11 11:00~2026/09/12 21:00,CX-00,"CX-00 新世紀福音戰士陀螺套組（$1,395）",https://lin.ee/UHqMK5X,@mhb3876c,https://line.me/ti/p/~@mhb3876c,
新北市,FunBox Toys-汐止遠雄店,2026/09/11 11:00~2026/09/12 21:00,CX-13,CX-13 龍王閃擊（$495）,https://lin.ee/UizxRku,@mhb3876c,https://line.me/ti/p/~@mhb3876c,
新北市,FunBox Toys-汐止遠雄店,2026/09/11 11:00~2026/09/12 21:00,BXG-01,BXG-01 烈燄飛鳳s（$350）,https://lin.ee/NNAyTM8,@mhb3876c,https://line.me/ti/p/~@mhb3876c,
新北市,FunBox Toys-汐止遠雄店,2026/09/11 11:00~2026/09/12 21:00,BXG-04,BXG-04 銀牙烈虎s（$350）,https://lin.ee/58XYS5A,@mhb3876c,https://line.me/ti/p/~@mhb3876c,
新北市,Funbox新店誠品店,2026/09/11 11:00 起,BX-00,BX-00 蒼龍神劍 3-60F（$350）,https://lin.ee/r1IXPQE,@491uicsm,https://line.me/ti/p/~@491uicsm,
新北市,Funbox新店誠品店,2026/09/11 11:00 起,BX-37,"BX-37 雙重極限衝擊戰鬥盤豪華組（$2,750）",https://lin.ee/RyYyWOo,@491uicsm,https://line.me/ti/p/~@491uicsm,
新北市,Funbox新店誠品店,2026/09/11 11:00 起,CX-12,CX-12 鳳凰閃焰 Z9-80WW（$350）,https://lin.ee/vk3CI4g,@491uicsm,https://line.me/ti/p/~@491uicsm,
新北市,Funbox新店誠品店,2026/09/11 11:00 起,CX-00,"CX-00 新世紀福音戰士陀螺套組（$1,395）",https://lin.ee/51lxU5K,@491uicsm,https://line.me/ti/p/~@491uicsm,
新北市,Funbox樹林秀泰店,2026/09/11 11:00~2026/09/12 21:00,BX-00,BX-00 蒼龍神劍V2（$350）,https://lin.ee/sCU4pitK,@046txnme,https://line.me/ti/p/~@046txnme,
新北市,Funbox樹林秀泰店,2026/09/11 11:00~2026/09/12 21:00,BX-10,BX-10 極限衝擊戰鬥盤（$850）,https://lin.ee/qVQi9m3,@046txnme,https://line.me/ti/p/~@046txnme,
新北市,Funbox樹林秀泰店,2026/09/11 11:00~2026/09/12 21:00,BX-18,BX-18 X旋風發射器（$250）,https://lin.ee/8Mgc2Ra,@046txnme,https://line.me/ti/p/~@046txnme,
新北市,Funbox樹林秀泰店,2026/09/11 11:00~2026/09/12 21:00,BX-25,BX-25 專業收納包（$850）,https://lin.ee/vyKYuXu,@046txnme,https://line.me/ti/p/~@046txnme,
新北市,Funbox樹林秀泰店,2026/09/11 11:00~2026/09/12 21:00,BX-26,BX-26 獨角刺心（$295）,https://lin.ee/U0394RC,@046txnme,https://line.me/ti/p/~@046txnme,
新北市,Funbox樹林秀泰店,2026/09/11 11:00~2026/09/12 21:00,BX-30,BX-30 發射器握把（黑紅）（$195）,https://lin.ee/6sbALkLw,@046txnme,https://line.me/ti/p/~@046txnme,
新北市,Funbox樹林秀泰店,2026/09/11 11:00~2026/09/12 21:00,BX-45,BX-45 武士魂斬（$325）,https://lin.ee/7jUJs9F,@046txnme,https://line.me/ti/p/~@046txnme,
新北市,Funbox樹林秀泰店,2026/09/11 11:00~2026/09/12 21:00,BX-57,BX-57 3v3對戰收納盒（$250）,https://lin.ee/x6lajAo,@046txnme,https://line.me/ti/p/~@046txnme,
新北市,Funbox樹林秀泰店,2026/09/11 11:00~2026/09/12 21:00,UX-21,UX-21 惡魔冥界改造組（$895）,https://lin.ee/7dR60o7,@046txnme,https://line.me/ti/p/~@046txnme,
新北市,Funbox樹林秀泰店,2026/09/11 11:00~2026/09/12 21:00,CX-00,"CX-00 新世紀福音戰士陀螺套組（$1,395）",https://lin.ee/nMMo9F9,@046txnme,https://line.me/ti/p/~@046txnme,
新北市,Funbox樹林秀泰店,2026/09/11 11:00~2026/09/12 21:00,CX-13,CX-13 龍王閃擊（$495）,https://lin.ee/UYv5QPl,@046txnme,https://line.me/ti/p/~@046txnme,
新北市,Funbox樹林秀泰店,2026/09/11 11:00~2026/09/12 21:00,BXG-01,BXG-01 烈焰飛鳳（$350）,https://lin.ee/svvpyy8,@046txnme,https://line.me/ti/p/~@046txnme,
新北市,Funbox樹林秀泰店,2026/09/11 11:00~2026/09/12 21:00,BXG-04,BXG-04 銀牙烈虎S（$350）,https://lin.ee/rsycL2q,@046txnme,https://line.me/ti/p/~@046txnme,
新北市,Funbox板橋大遠百,2026/09/11 11:00~2026/09/12 21:00,,蒼龍神劍3-60F V2,https://lin.ee/8cArlJr,@585clqqg,https://line.me/ti/p/~@585clqqg,
新北市,Funbox板橋大遠百,2026/09/11 11:00~2026/09/12 21:00,UX-21,UX-21 惡魔冥界改造組（$895）,https://lin.ee/nwZ8UAn,@585clqqg,https://line.me/ti/p/~@585clqqg,
新北市,Funbox板橋大遠百,2026/09/11 11:00~2026/09/12 21:00,CX-00,"CX-00 新世紀福音戰士陀螺套組（$1,395）",https://lin.ee/wzZcF5u,@585clqqg,https://line.me/ti/p/~@585clqqg,
新北市,Funbox板橋大遠百,2026/09/11 11:00~2026/09/12 21:00,CX-12,CX-12 鳳凰閃焰（$350）,https://lin.ee/SLbhLeD,@585clqqg,https://line.me/ti/p/~@585clqqg,
新北市,Funbox板橋大遠百,2026/09/11 11:00~2026/09/12 21:00,CX-13,CX-13 龍王閃擊（$495）,https://lin.ee/7rYQ9mm,@585clqqg,https://line.me/ti/p/~@585clqqg,
桃園市,Funbox-桃園站前三越,2026/09/11 11:00~2026/09/12 21:00,BX-00,BX-00 暴風天馬3-70RA（$595）,https://lin.ee/x6yzH8p,@fcm1241y,https://line.me/ti/p/~@fcm1241y,
桃園市,Funbox-桃園站前三越,2026/09/11 11:00~2026/09/12 21:00,BX-00,BX-00 蒼龍神劍3-60F V2（$350）,https://lin.ee/VixMUsb,@fcm1241y,https://line.me/ti/p/~@fcm1241y,
桃園市,Funbox-桃園站前三越,2026/09/11 11:00~2026/09/12 21:00,BX-26,BX-26 獨角刺心（$295）,https://lin.ee/QXxp4qV,@fcm1241y,https://line.me/ti/p/~@fcm1241y,
桃園市,Funbox-桃園站前三越,2026/09/11 11:00~2026/09/12 21:00,BX-50,BX-50 天堂日輪隨機強化組（$350）,https://lin.ee/qUn33fe,@fcm1241y,https://line.me/ti/p/~@fcm1241y,
桃園市,Funbox-桃園站前三越,2026/09/11 11:00~2026/09/12 21:00,UX-02,UX-02 惡魔戰錘（$395）,https://lin.ee/RcMEFmW,@fcm1241y,https://line.me/ti/p/~@fcm1241y,
桃園市,Funbox-桃園站前三越,2026/09/11 11:00~2026/09/12 21:00,UX-20,UX-20 榮耀武神LF（$595）,https://lin.ee/9l323EP,@fcm1241y,https://line.me/ti/p/~@fcm1241y,
桃園市,Funbox-桃園站前三越,2026/09/11 11:00~2026/09/12 21:00,UX-21,UX-21 惡魔冥界改造組（$895）,https://lin.ee/RyT9nk9,@fcm1241y,https://line.me/ti/p/~@fcm1241y,
桃園市,Funbox-桃園站前三越,2026/09/11 11:00~2026/09/12 21:00,CX-00,"CX-00 新世紀福音戰士陀螺套組（$1,395）",https://lin.ee/nQmhrsZ,@fcm1241y,https://line.me/ti/p/~@fcm1241y,
桃園市,Funbox-桃園站前三越,2026/09/11 11:00~2026/09/12 21:00,CX-13,CX-13 龍王閃擊（$495）,https://lin.ee/NpUNAS1,@fcm1241y,https://line.me/ti/p/~@fcm1241y,
桃園市,Funbox-桃園站前三越,2026/09/11 11:00~2026/09/12 21:00,BXG-01,BXG-01 烈焰飛鳳S（$350）,https://lin.ee/taF4Bk6,@fcm1241y,https://line.me/ti/p/~@fcm1241y,
桃園市,Funbox-桃園站前三越,2026/09/11 11:00~2026/09/12 21:00,BXG-04,BXG-04 銀牙烈虎S（$350）,https://lin.ee/VJRYDec,@fcm1241y,https://line.me/ti/p/~@fcm1241y,
新竹市,Funbox-新竹遠東店,2026/09/11~2026/09/12（營業時間 11:00~21:00）,BX-00,BX-00 蒼龍神劍3-60F V2（$350）,https://lin.ee/ppQFtam,@822rfnmr,https://line.me/ti/p/~@822rfnmr,
新竹市,Funbox-新竹遠東店,2026/09/11~2026/09/12（營業時間 11:00~21:00）,CX-00,"CX-00 新世紀福音戰士陀螺套組（$1,395）",https://lin.ee/nwUL9bje,@822rfnmr,https://line.me/ti/p/~@822rfnmr,
新竹市,Funbox-新竹遠雄店,2026/09/11~2026/09/12,BX-00,BX-00 蒼龍神劍 3-60F（$350）,https://lin.ee/nM1oXtf,@agl4214l,https://line.me/ti/p/~@agl4214l,
新竹市,Funbox-新竹遠雄店,2026/09/11~2026/09/12,UX-21,UX-21 惡魔冥界改造組（$895）,https://lin.ee/5mqMzNZ,@agl4214l,https://line.me/ti/p/~@agl4214l,
新竹市,Funbox-新竹遠雄店,2026/09/11~2026/09/12,CX-00,"CX-00 新世紀福音戰士陀螺套組（$1,395）",https://lin.ee/ofEN0zN,@agl4214l,https://line.me/ti/p/~@agl4214l,
新竹縣,Funbox 竹北遠東店,2026/09/11 11:00~2026/09/12 21:00,BX-00,BX-00 蒼龍神劍3-60F V2（$350）,https://lin.ee/ZLPUmoH,@642vdyvq,https://line.me/ti/p/~@642vdyvq,
新竹縣,Funbox 竹北遠東店,2026/09/11 11:00~2026/09/12 21:00,BX-26,BX-26 獨角刺心（$295）,https://lin.ee/ylbms4i,@642vdyvq,https://line.me/ti/p/~@642vdyvq,
新竹縣,Funbox 竹北遠東店,2026/09/11 11:00~2026/09/12 21:00,BX-33,BX-33 皓戰猛虎（$295）,https://lin.ee/5aiicgx,@642vdyvq,https://line.me/ti/p/~@642vdyvq,
新竹縣,Funbox 竹北遠東店,2026/09/11 11:00~2026/09/12 21:00,UX-20,UX-20 榮耀武神LF（$595）,https://lin.ee/WaOcOXM,@642vdyvq,https://line.me/ti/p/~@642vdyvq,
新竹縣,Funbox 竹北遠東店,2026/09/11 11:00~2026/09/12 21:00,CX-00,"CX-00 新世紀福音戰士陀螺套組（$1,395）",https://lin.ee/nAdCSiL,@642vdyvq,https://line.me/ti/p/~@642vdyvq,
新竹縣,Funbox 竹北遠東店,2026/09/11 11:00~2026/09/12 21:00,CX-13,CX-13 龍王閃擊（$495）,https://lin.ee/WZcKHxw,@642vdyvq,https://line.me/ti/p/~@642vdyvq,
新竹縣,Funbox 竹北遠東店,2026/09/11 11:00~2026/09/12 21:00,BXG-01,BXG-01 烈焰飛鳳S（$350）,https://lin.ee/NoxUMlh,@642vdyvq,https://line.me/ti/p/~@642vdyvq,
新竹縣,Funbox 竹北遠東店,2026/09/11 11:00~2026/09/12 21:00,BGX-04,BGX-04 銀牙烈虎S（$350）,https://lin.ee/TOclMv8,@642vdyvq,https://line.me/ti/p/~@642vdyvq,
台中市,Funbox 台中港三井店,2026/09/11 11:00~2026/09/12 20:30,BX-00,BX-00 蒼龍神劍3-60F V2（$350）,https://lin.ee/9mQ9dqB,@816xpruh,https://line.me/ti/p/~@816xpruh,
台中市,Funbox 台中港三井店,2026/09/11 11:00~2026/09/12 20:30,CX-13,CX-13 龍王閃擊（$495）,https://lin.ee/7WCLpWq,@816xpruh,https://line.me/ti/p/~@816xpruh,
台中市,Funbox 廣三SOGO店,2026/09/11 11:00~2026/09/12 21:00,BX-00,BX-00 蒼龍神劍3-60F V2（$350）,https://lin.ee/PEh5xzw,@526bsjmb,https://line.me/ti/p/~@526bsjmb,
台中市,Funbox 廣三SOGO店,2026/09/11 11:00~2026/09/12 21:00,UX-19,UX-19 子彈獅鷲（$550）,https://lin.ee/7v6B5V9,@526bsjmb,https://line.me/ti/p/~@526bsjmb,
台中市,Funbox 廣三SOGO店,2026/09/11 11:00~2026/09/12 21:00,UX-21,UX-21 惡魔冥界改造組（$895）,https://lin.ee/TFhnOX3,@526bsjmb,https://line.me/ti/p/~@526bsjmb,
台中市,Funbox 廣三SOGO店,2026/09/11 11:00~2026/09/12 21:00,CX-00,"CX-00 新世紀福音戰士陀螺套組（$1,395）",https://lin.ee/8aMGnIR,@526bsjmb,https://line.me/ti/p/~@526bsjmb,
台中市,Funbox 廣三SOGO店,2026/09/11 11:00~2026/09/12 21:00,CX-13,CX-13 龍王閃擊（$495）,https://lin.ee/WTpWADL,@526bsjmb,https://line.me/ti/p/~@526bsjmb,
